"hashtag","extracted_location","positive","negative","neutral","trust","anticipation","fear","sadness","joy","anger","suprise","disgust","total_positive","total_negative"
"#AIIMSchief","india",1,1,0,1,0,2,1,1,1,0,0,3,4
"#AiimsDelhi.I","india",2,1,0,1,1,1,1,1,1,1,0,5,4
"#aiimsdirector","india",1,0,0,1,0,0,0,0,0,0,0,2,0
"#Aim",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#AIMIM",NA,2,0,0,0,0,0,0,0,0,0,0,2,0
"#AIMS",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#AIPSN",NA,1,0,0,0,1,0,0,0,0,0,0,1,1
"#Airbus","malaysia",0,0,1,0,0,0,0,0,0,0,0,0,0
"#airline",NA,2,0,0,0,0,0,0,0,0,0,0,2,0
"#Airline",NA,0,0,0,1,0,0,0,0,0,0,0,1,0
"#airline.",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#airlines",NA,1,2,0,0,1,2,2,0,1,1,1,2,8
"#Airlines","united states",2,0,0,1,0,0,0,0,0,0,0,3,0
"#ajayb","india",0,0,1,0,0,0,0,0,0,0,0,0,0
"#AkhileshYadav",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#aktientip",NA,0,1,0,0,0,0,0,0,1,0,0,0,1
"#AKUH",NA,1,1,1,1,0,1,0,0,0,0,0,2,2
"#AkuNurse","pakistan",1,1,0,0,0,0,1,0,0,0,0,1,2
"#Alabama","georgia",0,0,0,0,0,0,0,0,1,1,0,1,0
"#Alabama",NA,1,1,0,0,0,1,1,0,0,0,1,1,4
